"","Restaurant","Cuisine","Address"
"108","Live Bait","Barbecue, Seafood, Soul Food, Cocktails","14 E 23rd St New York, NY, 10010"
"109","Terrace Fish & Chips","Seafood, Fish & Chips","77 Pearl St New York, NY, 10004"
"110","The Mermaid Inn","Seafood","568 Amsterdam Ave New York, NY, 10024"
"111","Atlantic Grill Lincoln Center","Sushi, Seafood","49 W 64th St New York, NY, 10023"
"112","El Rey de la Caridad","Puerto Rican, Seafood, Caribbean, Latin American","973 Amsterdam Ave New York, NY, 10025"
"113","Rosie O'Grady's","Irish, Seafood, Steak, American","800 7th Ave New York, NY, 10019"
"114","Strip House","Seafood, Steak","15 W 44th St New York, NY, 10036"
"115","Oceana","Seafood, Cocktails","120 W 49th St New York, NY, 10020"
"116","Benvenuto Caffe","Italian, Pizza, Sandwiches, Seafood, Soups, American, Pasta, Wraps, Salads, Vegetarian, Breakfast, Healthy","950 Broadway New York, NY, 10010"
"117","Red Lobster","Seafood, American","5 Times Sq New York, NY, 10036"
"118","Pearl Oyster Bar","Seafood","18 Cornelia St New York, NY, 10014"
"119","Estiatorio Milos","Greek, Mediterranean, Seafood","125 W 55th St New York, NY, 10019"
"120","Luke's Lobster","Seafood, Soups, New England","426 Amsterdam Ave New York, NY, 10024"
"121","Docks","Sushi, Seafood","633 3rd Ave New York, NY, 10017"
"122","Esca","Italian, Seafood, Local/Organic","402 W 43rd St New York, NY, 10036"
"123","Ditch Plains","Seafood, American, Fish & Chips","29 Bedford St New York, NY, 10014"
"124","Umberto's Clam House","Italian, Seafood","132 Mulberry St New York, NY, 10013"
"125","Mastro's Steakhouse","Sushi, Seafood, Steak","1285 6th Ave New York, NY, 10019"
"126","Mary's Fish Camp","Seafood","64 Charles St New York, NY, 10014"
"127","Silver Star Restaurant","Diner, Seafood","1238 2nd Ave New York, NY, 10065"
"128","Joseph's","Italian, Sandwiches, Seafood, Salads, Healthy","3 Hanover Sq New York, NY, 10004"
"129","Harbour Lights","American (New), Seafood","South St Seaport Pier 17 New York, NY, 10038"
"130","Frying Pan","Seafood, American","Pier 66 Maritime New York, NY, 10011"
"131","City Lobster & Steakhouse","Seafood, Steak","121 W 49th St New York, NY, 10020"
"132","Smith & Wollensky","Seafood, Steak","797 3rd Ave New York, NY, 10022"
"133","South Beach Restaurant & Lounge","Cuban, Seafood, Latin American","1390 St Nicholas Ave New York, NY, 10033"
"134","Joe's Crab Shack","Seafood","2349 Frederick Douglass Blvd New York, NY, 10027"
"135","Red Lobster","Seafood, American","261 W 125th St New York, NY, 10027"
"136","Pings","Chinese, Dim Sum, Seafood","22 Mott Street New York, NY, 10013"
"137","Jeffrey's Grocery","American (New), Seafood","172 Waverly Pl New York, NY, 10014"
"138","Ed's Chowder House","Seafood, Soups, Cocktails","44 W 63rd St New York, NY, 10023"
"139","Russ & Daughters Cafe","Seafood, Bagels, Eastern European","127 Orchard St New York, NY, 10002"
"140","Claw","Seafood, American","269 W 23rd St New York, NY, 10011"
"141","The John Dory Oyster Bar","Seafood, Tapas, Cocktails","1196 Broadway New York, NY, 10001"
"142","The Wayfarer","Seafood","101 W 57th New York, NY, 10019"
"143","Bangkok Grand Palace","Thai, Seafood, Vegetarian","882 1st Ave New York, NY, 10022"
"144","Grand Central Oyster Bar","Seafood","89 E 42nd St New York, NY, 10017"
"145","La Marina","Seafood, Steak","348 Dyckman St New York, NY, 10034"
"146","Barney Greengrass","Deli Food, Sandwiches, Seafood","541 Amsterdam Ave New York, NY, 10024"
"147","Ashiya V Sushi","Japanese, Sushi, Seafood, Asian, Lunch Specials","937 1st Ave New York, NY, 10017"
"148","Beekman Beer Garden","German, Seafood, Bar Food","89 South St New York, NY, 10038"
"149","Il Pesce","Italian, Seafood","200 5th Ave New York, NY, 10010"
"150","Crudo Vineria con Cucina","Italian, Seafood","178 Mulberry St New York, NY, 10013"
"151","The Claw","Seafood","744 9th Ave New York, NY, 10019"
"152","Bar Belly","Seafood, Cocktails","14 Orchard St New York, NY, 10002"
"153","Kim's Aunt Kitchen Cart","Korean, Sandwiches, Seafood","46th St New York, NY, 10036"
"155","ZZ's Clam Bar","Seafood, Tapas, Cocktails","169 Thompson St New York, NY, 10012"
"156","The Crow's Nest","Seafood, Bar Food, Cocktails","The East River New York, NY, 10016"
"158","Calle 174 Pescaderia (fka Sea Flower)","Seafood","4127 Broadway New York, NY, 10032"
"159","Black Crescent","Seafood, Cocktails","76 Clinton St New York, NY, 10002"
"160","Peix Bar de Mariscos","Seafood, Latin American, Local/Organic, Nuevo Latino","151 Elizabeth St New York, NY, 10012"
"161","Boca Chica","Seafood, Latin American","1354 Amsterdam Ave New York, NY, 10027"
"162","Three Ocean","Chinese, Seafood","53 Bayard St New York, NY, 10013"
"163","St. Nicholas Fish Market","Puerto Rican, Seafood, Latin American","1609 St Nicholas Ave New York, NY, 10040"
"164","Ed's Lobster Bar Cart","Sandwiches, Seafood","225 Vesey St New York, NY, 10281"
"165","Amsterdam Ave Fish","Seafood, Fish & Chips","975 Amsterdam Ave New York, NY, 10025"
"166","Luke's Lobster Nauti Mobile","Seafood, Soups, New England","Location Varies New York, NY, 10017"
"168","Virgola","Italian, Seafood, Alcohol, Tapas","28 Greenwich Ave New York, NY, 10011"
"169","Beluga Bar by Caviarteria","Seafood, Cocktails, Other","75 Murray St New York, NY, 10007"
"170","Red Hook Lobster Pound","Seafood","16 Extra Pl New York, NY, 10003"
"171","Alaska Fish Market","Seafood","3668 Broadway New York, NY, 10031"
"172","Cevich","Mexican, Seafood","21 E 15th St New York, NY, 10003"
"173","El Palacio Seafood Market","Seafood, Latin American","1049 St Nicholas Ave New York, NY, 10032"
"174","LoLo's Seafood Shack","Seafood","303 W 116th St New York, NY, 10026"
"175","Ma Dukes Manhattan Island Seafood","Seafood, Soul Food","2492 Frederick Douglass Blvd New York, NY, 10027"
"176","Luke's Lobster","Seafood, Soups, New England","207 E 43rd St New York, NY, 10017"
"177","The Folly","Seafood, Gastropub","92 W Houston St New York, NY, 10012"
"178","Joe's Crab Shack","Seafood","301 W 125th St New York, NY, 10027"
"179","Hunt & Fish Club","American (New), Seafood, Steak","125 W 44th St New York, NY, 10036"
"180","V Bar","Italian, Seafood","212 Front St New York, NY, 10038"
"181","Charlie Palmer Steak","Seafood, Steak","3 E 54th St New York, NY, 10022"
"182","Red & Gold Crab Shack","Seafood","30 St Marks Pl New York, NY, 10003"
"183","Grand Banks","American (New), Seafood","Pier 25 New York, NY, 10013"
"184","Mid Atlantic Fish Market","Seafood","4250 Broadway New York, NY, 10033"
"185","Luke's Lobster","Seafood, Soups, New England","685 3rd Ave New York, NY, 10017"
"186","Lighthouse Fish Market & Restaurant","Seafood, Wings, Fish & Chips","2451 Frederick Douglas Blvd New York, NY, 10027"
"187","House of Seafood Express","Seafood","429 Lenox Ave New York, NY, 10037"
"188","Clambakes By Jim Sanford","Seafood","205 West 95th Street New York, NY, 10025"
"189","Seamore?s Nolita","Seafood","390 Broome St New York, NY, 10013"
"190","White Oak","American (New), Seafood","818 10th Ave New York, NY, 10019"
"191","Barfish Bistro","Seafood","643 Broadway New York, NY, 10012"
"192","City Crab & Seafood Co.","Seafood","10 E 16th St New York, NY, 10003"
"194","Rowland?s Bar & Grill","Burgers, Seafood","151 W 34th St New York, NY, 10001"
"196","Harlem Savour of Seafood Inc","Seafood, American, Wings, Chicken, Breakfast","2190 Fredrick Douglas Blvd New York City, NY, 10026"
"197","Pudgie's/Nathans/Arthur Treacher's","Seafood, American, Wings, Chicken","57 1st Ave New York City, NY, 10003"
"198","JJ Sushi Cafe","Japanese, Sushi, Seafood, Soups, Vegetarian, Asian, Healthy, Lunch Specials","995 6th Ave New York, NY, 10018"
"199","JJR Highridge Fishery","Seafood, American","1791 Central Park Ave New York, NY, 11212"
"200","Luke's Lobster","Seafood","1 W 59th St New York, NY, 10019"
"201","Lox NYC","Deli Food, Sandwiches, Seafood, Eastern European","1109 5th Ave New York, NY, 10128"
"202","Lobster Smack","Seafood","90 West Houston Street New York, NY, 10012"
