"","Address","Restaurant","Cuisine","Latitude","Longitude","City"
"7598","75 Exeter St Boston, MA, 02116","Luke's Lobster","Seafood",42.3488381,-71.0794555,"Boston"
"7691","752 Bennington St East Boston, MA, 02128","Royal Roast Beef and Seafood","Sandwiches, Seafood, New England",42.3855814,-71.0108213,"Boston"
"7811","761 Boylston St Boston, MA, 02116","Atlantic Fish Company","Seafood, New England",42.3492534,-71.0811514,"Boston"
"7931","774 Boylston St Boston, MA, 02199","L'Espalier","French, Seafood, Vegetarian, New England",42.3488587,-71.0810899,"Boston"
"8030","793 Boylston St Boston, MA, 02116","Abe & Louie's Steakhouse","Seafood, Steak",42.3492394,-71.0816024,"Boston"
"8149","80 Atlantic Ave Boston, MA, 02110","Boston Sail Loft","Seafood, American",42.362474,-71.0505556,"Boston"
"8210","83 Essex St Boston, MA, 02111","Chau Chow City","Chinese, Seafood",42.3523984,-71.0602081,"Boston"
"8235","87 A St Boston, MA, 02127","KO Pies","Sandwiches, Seafood",42.3424348,-71.0545821,"Boston"
"8265","88 Sleeper St Boston, MA, 02210","Barking Crab","Seafood, New England",42.3538179,-71.0486393,"Boston"
"8330","900 Boylston St Boston, MA, 02115","Towne Stove and Spirits","American (New), Seafood, Eclectic & International, Cocktails",42.3475962,-71.0851772,"Boston"
"8560","Faneuil Hall Marketplace Boston, MA, 02109","McCormick & Schmick's","Seafood, Steak",42.3603769,-71.0549315,"Boston"
"8738","15 Court Square, Boston, MA 02108","Captain Marden's Seafoods","Sandwiches, Seafood",42.358158,-71.0585053,"Boston"
"8750","1135 Forest Ave Portland, ME, 04103","Susan's Fish N Chips","Seafood",43.6860231,-70.2918727,"Portland"
"8781","15 Exchange St Portland, ME, 04101","Walter's","Seafood, American",43.6569016,-70.2534878,"Portland"
"8815","215 Foreside Rd Falmouth, ME, 04105","The Falmouth Sea Grill","Seafood, American",43.7288958,-70.2093851,"Portland"
"8863","225 Two Lights Rd Cape Elizabeth, ME, 04107","The Lobster Shack","Seafood, American",43.564353,-70.198458,"Portland"
"8898","25 Union Wharf Portland, ME, 04101","DiMillo's Floating Restaurant & Marina","Seafood, American",43.6540933,-70.2534285,"Portland"
"9017","33 Wharf St Portland, ME, 04101","Street & Co.","Seafood, American",43.6558841,-70.2540164,"Portland"
"9043","380 Gorham Rd Portland, ME, 04106","Weathervane Seafood Restaurant","Burgers, Sandwiches, Seafood, American, Pasta, Salads",43.6361051,-70.3319528,"Portland"
"9181","5 Portland Portland, ME, 04101","J's Oyster","Seafood, American",43.6587381,-70.262005,"Portland"
"9234","92 Commercial St Portland, ME, 04101","Gilbert's Chowder House","Seafood, American",43.6568441,-70.2505061,"Portland"
"9285","93 Commercial St Portland, ME, 04101","Old Port Sea Grill & Raw Bar","Seafood, American",43.6573362,-70.2506683,"Portland"
"9347","10 Exchange St Charleston, SC, 29401","The Boathouse","Seafood, American",32.7768389,-79.9261996,"Charleston"
"9466","10 Hayne St Charleston, SC, 29401","Hank's Seafood Restaurant","Seafood, American",32.7819497,-79.9298949,"Charleston"
"9512","12 Anson St Charleston, SC, 29401","Anson","Seafood, American",32.7817611,-79.9289112,"Charleston"
"9550","145 Wappoo Creek Drive Charleston, SC, 29412","Charleston Crab House","Seafood, American",32.7655866,-79.9748279,"Charleston"
"9595","153 E Bay St Charleston, SC, 29401","Pearlz Oyster Bar","Seafood, American",32.7781761,-79.927206,"Charleston"
"9671","167 E Bay St Charleston, SC, 29401","Cypress Restaurant","Seafood, American",32.7787775,-79.9273591,"Charleston"
"9687","171 E Bay St Charleston, SC, 29401","Blossom","Seafood, American",32.778945,-79.9272716,"Charleston"
"9804","186 Concord St Charleston, SC, 29401","Fleet Landing","Seafood, American",32.7803972,-79.9247328,"Charleston"
"9889","1901 Ashley River Rd Charleston, SC, 29407","The Crab Shack","Seafood, American",32.8055362,-80.0222382,"Charleston"
"10028","1936 Savannah Hwy Charleston, SC, 29407","Captain D's","Seafood, American",32.7892096,-80.0247385,"Charleston"
"10084","205 E Bay St Charleston, SC, 29401","Amen Street Fish & Rawbar","Seafood",32.780193,-79.9273161,"Charleston"
"10155","213 Meeting St Charleston, SC, 29401","Hyman's Seafood","Seafood, American",32.7815261,-79.9318076,"Charleston"
"10272","35 S Market St Charleston, SC, 29401","A W Shuck's Seafood","Seafood, American",32.7806886,-79.9281525,"Charleston"
"10336","38 Romney St Charleston, SC, 29403","The Boathouse","Seafood, American",32.8082783,-79.944999,"Charleston"
"10455","39 John St Charleston, SC, 29403","Coast","Seafood, American",32.7882886,-79.9370647,"Charleston"
"10520","4008 Rivers Ave Charleston, SC, 29405","Captain D's","Seafood, American",32.8655566,-79.9887144,"Charleston"
"10576","41 S Market St Charleston, SC, 29401","Charleston Crab House","Seafood, American",32.7807917,-79.9282554,"Charleston"
"10621","442 King St Charleston, SC, 29403","Fish","Seafood, American",32.7887425,-79.9380921,"Charleston"
"10683","504 Folly Rd Charleston, SC, 29412","Locklear's Fine Seafood","Seafood, American",32.7546104,-79.9718564,"Charleston"
"10847","5130 Ashley Phosphate Rd Charleston, SC, 29418","Captain D's","Seafood, American",32.9161868,-80.105756,"Charleston"
"10903","549 E Bay St Charleston, SC, 29403","The Boathouse","Seafood, American",32.7920002,-79.9314585,"Charleston"
"11022","6326 Rivers Ave North Charleston, SC, 29410","Captain D's","Seafood, American",32.9114158,-80.0236904,"Charleston"
"11078","800 Century Pl Charleston, SC, 29412","Crab Shack","Seafood, American",32.7365658,-79.9507192,"Charleston"
"11217","837 Folly Rd Charleston, SC, 29412","Huff's Seafood","Seafood, American",32.737575,-79.966946,"Charleston"
"11296","8486 Dorchester Rd Charleston, SC, 29420","The Crab Shack","Seafood, American",32.9178954,-80.113,"Charleston"
"11435","9 Magnolia Road Charleston, SC, 29407","Pearlz Oyster Bar","Seafood",32.7824966,-79.985971,"Charleston"
"11511","99 S Market St Charleston, SC, 29401","Bubba Gump Shrimp Co.","Seafood, American",32.7804165,-79.9309005,"Charleston"
