"","Restaurant","Similar_Restaurant","Address","Cuisine","Latitude","Longitude","City"
"24","Captain D's 6326","KO Pies, Tia's, Fire House Seafood, Atlantic Fish Company, The Tap","6326 Rivers Ave North Charleston, SC, 29410","Seafood, American",32.9114158,-80.0236904,"Charleston"
"25","Captain Fishbones","The Lobster Shack, DiMillo's Floating Restaurant & Marina, Weathervane Seafood Restaurant, J's Oyster, Gilbert's Chowder House","353 Cambridge St Allston, MA, 02134","Burgers, Pizza, Seafood, Soups, Steak, American, Salads",42.356104,-71.1324579,"Boston"
"26","Captain Marden's Seafoods","Captain Fishbones, DiMillo's Floating Restaurant & Marina, The Lobster Shack, J's Oyster, Weathervane Seafood Restaurant","15 Court Square, Boston, MA 02108","Sandwiches, Seafood",42.358158,-71.0585053,"Boston"
"27","Central Wharf Co.","Street & Co., Walter's, The Daily Catch 2, The Daily Catch 323, Old Port Sea Grill & Raw Bar","160 Milk Street Boston, MA, 02109","American (New), Seafood",42.358714,-71.052724,"Boston"
"28","Charleston Crab House 145","A W Shuck's Seafood, Fleet Landing, The Crab Shack 1901, Crab Shack, The Crab Shack 8486","145 Wappoo Creek Drive Charleston, SC, 29412","Seafood, American",32.7655866,-79.9748279,"Charleston"
"29","Charleston Crab House 41","A W Shuck's Seafood, Fleet Landing, The Crab Shack 1901, Crab Shack, The Crab Shack 8486","41 S Market St Charleston, SC, 29401","Seafood, American",32.7807917,-79.9282554,"Charleston"
"30","Chart House","Towne Stove and Spirits, Stockyard, 75 Chestnut, Legal Osteria, 75 on Liberty Wharf","60 Long Wharf Boston, MA, 02110","Seafood, Steak",42.3601671,-71.0495214,"Boston"
"31","Chau Chow City","Bubor Cha Cha, New Golden Gate, GaGa Seafood, New Jumbo Seafood, East Ocean City","83 Essex St Boston, MA, 02111","Chinese, Seafood",42.3523984,-71.0602081,"Boston"
"32","China Bo ($1 Chinese Rice/#1 Chinese Food)","Aura, Lorenz Island Kuisine, Fish, Miel, Harborside Grill and Patio","49 Warren St Roxbury, MA, 02119","Chinese, Japanese, Sushi, Noodles, Thai, Mexican, Ice Cream, Pizza, Seafood, Soups, Wings, Pasta, Desserts, Salads, Vegetarian, Asian, Healthy, Late Night, Subs",42.3291303,-71.0837041,"Boston"
"33","Coast","Yankee Lobster, Morse Fish Company, Long John Silver's, Huff's Seafood, Fire House Seafood","39 John St Charleston, SC, 29403","Seafood, American",32.7882886,-79.9370647,"Charleston"
"34","Crab Shack","Fleet Landing, Charleston Crab House 145, Charleston Crab House 41, A W Shuck's Seafood, Pearlz Oyster Bar 153, Pearlz Oyster Bar 9","800 Century Pl Charleston, SC, 29412","Seafood, American",32.7365658,-79.9507192,"Charleston"
"35","Cypress Restaurant","B&G Oysters, Neptune Oyster, LTK, Jasper White's Summer Shack, Legal Harborside","167 E Bay St Charleston, SC, 29401","Seafood, American",32.7787775,-79.9273591,"Charleston"
"36","DiMillo's Floating Restaurant & Marina","Captain Fishbones, The Lobster Shack, Captain Marden's Seafoods, J's Oyster, Weathervane Seafood Restaurant","25 Union Wharf Portland, ME, 04101","Seafood, American",43.6540933,-70.2534285,"Portland"
"37","Durgin Park","Waterline, Union Oyster House, The Falmouth Sea Grill, Old Port Sea Grill & Raw Bar, The Daily Catch 2, The Daily Catch 323","340 N Market St Boston, MA, 02109","Seafood, American, New England",42.3605442,-71.0552566,"Boston"
"38","East Ocean City","New Jumbo Seafood, GaGa Seafood, New Golden Gate, Bubor Cha Cha, Chau Chow City","27 Beach St Boston, MA, 02111","Chinese, Seafood",42.3512603,-71.0618016,"Boston"
"39","Fire House Seafood","Brother's Crawfish, Pearlz Oyster Bar 153, Pearlz Oyster Bar 9, Tia's, Captain Marden's Seafoods","5 High St Boston, MA, 02110","Seafood",42.3531856,-71.0567199,"Boston"
"40","Fish","Lorenz Island Kuisine, Aura, China Bo ($1 Chinese Rice/#1 Chinese Food), Miel, Harborside Grill and Patio","442 King St Charleston, SC, 29403","Seafood, American",32.7887425,-79.9380921,"Charleston"
"41","Fleet Landing","The Crab Shack 1901, Crab Shack, The Crab Shack 8486, Charleston Crab House 145, Charleston Crab House 41","186 Concord St Charleston, SC, 29401","Seafood, American",32.7803972,-79.9247328,"Charleston"
